shelf,flat,col,row,acs,trt,days,date,hyp,int1,int2,int3,int4,petleng,leafleng,leafwid,leafnum,ndvi,lat,lon,alt,species,who
Z,3,D,2,LA3795,H,28,5/5/08,26.44,5.85,3,3.66,,9.79,25.03,22.71,4,123,-10.15,-77.35,3540,S. peruvianum,Dan
Z,3,E,2,LA2773,H,28,5/5/08,34.32,0.48,0.07,1.03,1.9,15.66,51.69,49.65,7,115,-18.2667,-69.5833,3260,S. chilense,Dan
Z,3,F,2,LA1028,H,28,5/5/08,42.31,0.04,0.05,5.03,4.55,4.86,10.5,55.04,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
Z,3,G,2,LA1318,H,28,5/5/08,33.14,5.12,5.63,6.4,2.65,16.85,40.85,46.1,4,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
Z,3,H,2,LA1361,H,28,5/5/08,39.85,0.94,3.45,4.43,2.82,11.38,15.96,19.77,5,111,-9.55,-77.8917,1340,S. habrochaites,Dan
Z,3,B,3,LA3791,H,28,5/5/08,40.66,0.29,0.92,2.18,0.63,13.35,22.86,33.03,4,110,-15.7878,-73.3939,1935,S. pennellii,Dan
Z,3,D,3,LA1958,H,28,5/5/08,40.8,1.61,0.04,3.06,0.84,8.72,31.85,35.03,4,100,-17.25,-71.25,1336,S. chilense,Dan
Z,3,E,3,LA2884,H,28,5/5/08,22.85,0.97,2.16,4.15,4.14,6.8,39.05,48.29,6,108,-23.6833,-68.0667,2390,S. chilense,Dan
Z,3,F,3,LA1306,H,28,5/5/08,32.88,2.04,3.54,4.77,3.12,21.73,31.08,40.91,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
Z,3,G,3,LA2663,H,28,5/5/08,21.18,0.94,3.86,4.51,1.73,13.11,21.94,25.39,4,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
Z,3,H,3,LA1363,H,28,5/5/08,27.69,9.3,5.28,14.04,7.18,29.44,40.92,48.18,6,121,-10.1417,-77.3833,3140,S. habrochaites,Dan
Z,3,A,4,LA2560,H,28,5/5/08,19.81,2.08,3.28,2.24,,13.96,23.11,28.88,4,102,-8.66,-78.29,480,S. pennellii,Dan
Z,3,B,4,LA446,H,28,5/5/08,35.69,6.85,2.51,2.46,4.86,18.18,42.44,44.54,6,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
Z,3,C,4,LA1954,H,28,5/5/08,36.33,4.54,0.88,7.08,3.74,19.19,39.8,38.46,5,107,-17.0167,-72.0833,0,S. peruvianum,Dan
Z,3,D,4,LA1969,H,28,5/5/08,13.86,0,0,0.29,0.18,7.21,20.92,25.65,5,124,-17.5333,-70.0333,3015,S. chilense,Dan
Z,3,E,4,LA2891,H,28,5/5/08,35.6,1.07,0.08,0.6,1.03,11.05,26.64,38,5,107,-25.4,-70.4,660,S. chilense,Dan
Z,3,F,4,LA1316,H,28,5/5/08,38.32,1.77,1.14,4.9,4.47,31.2,38.82,59.52,6,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
Z,3,G,4,LA2695,H,28,5/5/08,28.85,3.95,4.77,1.57,,11.45,28,22.22,4,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
Z,3,H,4,LA1691,H,28,5/5/08,22.5,5.54,2.15,4.67,3.15,23.51,51.31,53.05,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
Z,3,I,4,LA2204,H,28,5/5/08,20.75,3.6,5.35,6.27,5.32,20.98,51.19,50.96,5,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
V,4,B,1,LA2580,L,28,5/5/08,38.11,7,9.66,5.89,3.7,29,31.41,45.7,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
V,4,C,1,LA1305,L,28,5/5/08,17.8,6.3,3.61,23.46,13.02,14.2,35.4,31.68,7,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,4,D,1,LA1973,L,28,5/5/08,40.96,13.08,13.55,27.76,13.18,26.34,53.63,60.26,6,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,4,E,1,LA2748,L,28,5/5/08,27.8,9.33,4.63,20.8,12.6,18.41,54.7,51.13,6,105,-20.4833,-69.9833,1020,S. chilense,Dan
V,4,F,1,LA2931,L,28,5/5/08,72.67,12.91,2.68,16.87,11.95,22.67,48.06,46.06,6,106,-20.9167,-69.0667,2460,S. chilense,Dan
V,4,G,1,LA1317,L,28,5/5/08,28.98,3.9,9.01,7.88,4.28,21.48,27.36,43.85,5,132,-13.4167,-73.8417,2000,S. chmielewskii,Dan
V,4,A,2,LA1367,L,28,5/5/08,41.24,11.67,7.99,4.74,,17.52,31.81,33.68,4,111,-11.9008,-76.6633,1020,S. pennellii,Dan
V,4,B,2,LA3788,L,28,5/5/08,58.3,13.42,5.29,3.27,,23.35,28.97,42.38,4,112,-16.1383,-73.6428,480,S. pennellii,Dan
V,4,C,2,LA1336,L,28,5/5/08,53.56,12.02,4.09,9.2,,11.25,27.57,25.62,4,107,-16.2094,-73.6222,75,S. peruvianum,Dan
V,4,D,2,LA3795,L,28,5/5/08,44.13,8.07,5.86,7.37,,14.51,40.7,46.64,4,123,-10.15,-77.35,3540,S. peruvianum,Dan
V,4,E,2,LA2773,L,28,5/5/08,41.48,15.4,4.22,15.68,21.47,23.26,41.49,43.57,6,115,-18.2667,-69.5833,3260,S. chilense,Dan
V,4,F,2,LA1028,L,28,5/5/08,32.5,0.05,6.17,8.61,9.04,30.43,54.2,64.56,6,131,-13.925,-73.025,2880,S. chmielewskii,Dan
V,4,G,2,LA1318,L,28,5/5/08,21.34,10.31,17.32,20.54,8.78,25.35,56.18,61.49,5,136,-13.6833,-72.9583,2300,S. chmielewskii,Dan
V,4,A,3,LA1912,L,28,5/5/08,41.62,12.06,6.65,8.56,2.92,20.1,39.25,48.07,5,106,-14.4492,-75.2203,620,S. pennellii,Dan
V,4,B,3,LA3791,L,28,5/5/08,44.48,6.12,6.57,3.94,,15.88,30.58,41.43,4,110,-15.7878,-73.3939,1935,S. pennellii,Dan
V,4,C,3,LA1474,L,28,5/5/08,39.68,1.96,3.67,0.8,,10.89,25.96,22.17,4,113,-16.6072,-72.6964,27,S. peruvianum,Dan
V,4,D,3,LA1958,L,28,5/5/08,35.79,9.1,4.26,16.03,8.82,21.33,64.27,68.23,6,100,-17.25,-71.25,1336,S. chilense,Dan
V,4,E,3,LA2884,L,28,5/5/08,34.39,6.42,0.54,5.42,0.03,17.32,39.9,43.65,7,108,-23.6833,-68.0667,2390,S. chilense,Dan
V,4,F,3,LA1306,L,28,5/5/08,35.88,0.06,7.75,8.93,9.06,20.49,42.16,48.31,5,130,-12.95,-74.0167,3340,S. chmielewskii,Dan
V,4,G,3,LA2663,L,28,5/5/08,25.96,2.28,10.31,6.93,5.92,15.15,42.48,51.12,5,137,-13.7333,-71.9833,3110,S. chmielewskii,Dan
V,4,A,4,LA2560,L,28,5/5/08,27.44,8.51,9.63,9.14,2.19,11.1,36.4,41.76,5,102,-8.66,-78.29,480,S. pennellii,Dan
V,4,B,4,LA446,L,28,5/5/08,41.42,10.97,0.03,15,6.72,15.66,34.07,38.02,5,124,-15.7833,-74.3917,2240,S. peruvianum,Dan
V,4,C,4,LA1954,L,28,5/5/08,50.34,12.9,5.83,11.26,8.6,17.03,44.35,54.2,5,107,-17.0167,-72.0833,0,S. peruvianum,Dan
V,4,D,4,LA1969,L,28,5/5/08,22.82,0.06,0.06,0.79,,1.94,9.87,9.75,4,124,-17.5333,-70.0333,3015,S. chilense,Dan
V,4,E,4,LA2891,L,28,5/5/08,40.98,5.53,1.22,8.75,1.73,11.12,16.77,24.57,5,107,-25.4,-70.4,660,S. chilense,Dan
V,4,F,4,LA1316,L,28,5/5/08,33.2,2.17,5.48,6.19,1.88,18.43,37.51,48.84,4,135,-13.3925,-73.915,3100,S. chmielewskii,Dan
V,4,G,4,LA2695,L,28,5/5/08,22.16,4,9.4,10.68,7.38,19.08,45.14,56.29,5,128,-14.1525,-71.3886,3480,S. chmielewskii,Dan
V,4,H,4,LA1691,L,28,5/5/08,23.13,4.65,0.15,4.2,1.09,12.96,42.62,39.14,5,127,-12.45,-75.925,3540,S. habrochaites,Dan
V,4,I,4,LA2204,L,28,5/5/08,31.07,7.57,10.17,10.18,8.42,13.42,45.09,68.27,5,128,-5.7667,-77.8667,2160,S. habrochaites,Dan
V,5,B,1,LA2580,L,28,5/5/08,47.62,12.37,8.32,12.91,4.63,31.91,36.35,51.4,5,111,-9.5167,-78.0083,740,S. pennellii,Dan
V,5,C,1,LA1305,L,28,5/5/08,18.01,4.32,3.04,10.45,6.26,13.98,40.46,41.51,5,120,-13.3833,-75.3583,3360,S. peruvianum,Dan
V,5,D,1,LA1973,L,28,5/5/08,26.15,8.15,10.98,11.64,7.5,21.94,38.05,48.81,5,110,-16.2333,-71.7,2585,S. peruvianum,Dan
V,5,F,1,LA2931,L,28,5/5/08,44.12,10.71,0.28,15.57,18.06,20.6,57.88,60.15,5,106,-20.9167,-69.0667,2460,S. chilense,Dan
