acs,species,trt,hyp,int1,int2,int3,int4
LA1028,S. chmielewskii,H,24.75,1.22,3.26,4.9,3.09
LA1318,S. chmielewskii,H,22.72,1.24,3.89,4.39,3.12
LA1361,S. habrochaites,H,27.53,2.59,1.5,3.97,4.88
LA1954,S. peruvianum,H,25.96,1.21,4.32,1.72,1.71
LA1912,S. pennellii,H,19.4,1.3,0.48,0.99,1.05
LA1474,S. peruvianum,H,39.82,3.49,0.41,3.6,3.13
LA1958,S. chilense,H,23.49,1.09,0.48,2.12,1.47
LA2884,S. chilense,H,21.78,1.09,0.59,3.33,2.21
LA1306,S. chmielewskii,H,27.42,1.03,0.84,3.47,5.24
LA2663,S. chmielewskii,H,25.87,1.89,4.99,4.28,2.66
LA1363,S. habrochaites,H,22.61,2.37,7.83,12.63,3.79
LA446,S. peruvianum,H,25.71,0.79,0.36,1.21,0.45
LA1954,S. peruvianum,H,33.4,2.11,4.65,4.17,0.44
LA1969,S. chilense,H,26.41,0.31,0.36,0.45,0.29
LA2891,S. chilense,H,22.38,0.07,0.16,0.23,0.48
LA1316,S. chmielewskii,H,46.93,1.21,0.34,2.22,3.56
LA2695,S. chmielewskii,H,27.59,1.17,2.7,1.89,0.68
LA1691,S. habrochaites,H,29.13,2.57,3.38,2.46,2.65
LA2204,S. habrochaites,H,24.31,4.29,6.3,8.08,6.74
LA2580,S. pennellii,L,22.87,4.19,4.54,2.66,1.26
LA1305,S. peruvianum,L,40.84,6.07,1.13,8.85,5.51
LA1973,S. peruvianum,L,24.16,8.26,1.05,12.24,4.14
LA2748,S. chilense,L,23.61,3.89,1.03,18.07,14.69
LA2931,S. chilense,L,44.63,2.56,1.35,3.86,2.12
LA1317,S. chmielewskii,L,35,5.85,15.09,12.75,7.06
LA361,S. habrochaites,L,25.08,4.78,7.86,6.06,4.14
LA1918,S. habrochaites,L,41.05,1.82,1.78,3.98,2.52
LA2167,S. habrochaites,L,19.2,7.31,5.07,7.71,5.4
LA3788,S. pennellii,L,43.87,8.09,2.68,1.17,NA
LA1336,S. peruvianum,L,36.86,10.43,7.41,9.9,4.8
LA2773,S. chilense,L,32.93,9.29,3.32,16.15,5.97
LA1028,S. chmielewskii,L,27.8,1.64,1.73,6.75,6.29
LA1318,S. chmielewskii,L,26.45,5.78,7.95,5.35,1.14
LA1361,S. habrochaites,L,33.78,6.04,9.33,13.29,13.27
LA1912,S. pennellii,L,27.17,3.58,2.2,1.5,1.5
LA3791,S. pennellii,L,35.35,1.58,3.3,4.11,2.73
LA1474,S. peruvianum,L,43.8,6.09,1.03,7.27,3.5
LA1958,S. chilense,L,71.11,11.24,4.34,11.74,8.48
LA2884,S. chilense,L,45.83,10.56,6.28,1.22,6.67
LA1306,S. chmielewskii,L,34.56,1.31,2.83,9.93,9.04
LA2663,S. chmielewskii,L,33,1.8,8.28,5.78,3.34
LA1363,S. habrochaites,L,26.37,13.61,18.86,12.15,7.25
LA446,S. peruvianum,L,26.34,11.26,1.29,6.51,6.36
LA1954,S. peruvianum,L,57.34,16.78,3.03,9.29,6.77
LA1316,S. chmielewskii,L,45.5,3.89,5,4.85,4.12
LA2695,S. chmielewskii,L,28.89,4.02,8.11,4.68,2.63
